material,T_c
La1.85Sr0.15Cu0.98Ru0.02O4,10.8
La1.85Sr0.15Cu0.97Ru0.03O4,10.8
La1.83Sr0.17Cu0.99Ru0.01O4,31.1
La1.825Sr0.175Cu0.99Ru0.01O4,29.6
La1.82Sr0.18Cu0.99Ru0.01O4,28.3
La1.81Sr0.19Cu0.99Ru0.01O4,26.5
La1.79Sr0.21Cu0.99Ru0.01O4,22.1
La1.81Sr0.19Cu0.98Ru0.02O4,13.5
La1.805Sr0.195Cu0.98Ru0.02O4,14.1
La1.8Sr0.2Cu0.98Ru0.02O4,15.6
La1.795Sr0.205Cu0.98Ru0.02O4,15.5
La1.79Sr0.21Cu0.98Ru0.02O4,11.2
La1.79Sr0.21Cu0.97Ru0.03O4,14.8
La1.78Sr0.22Cu0.97Ru0.03O4,15.6
La1.76Sr0.24Cu0.97Ru0.03O4,16.1
La1.75Sr0.25Cu0.97Ru0.03O4,15.3
La1.73Sr0.27Cu0.97Ru0.03O4,14.1
Co1Sr2Y0.9Ca0.1Cu2O7,15
Co1Sr2Y0.8Ca0.2Cu2O7,20
Co1Sr2Y0.75Ca0.25Cu2O7,30
Co1Sr2Y0.7Ca0.3Cu2O7,40
Co1Sr2Y0.65Ca0.35Cu2O7,38
Co1Sr2Y0.6Ca0.4Cu2O7,34
Co1Sr2Y0.55Ca0.45Cu2O7,25
Co1Sr2Y0.5Ca0.5Cu2O7,15
La1.9Pr0.1Ca0.2Ba2Cu4.2O9.8786,25.5
La1.8Pr0.2Ca0.4Ba2Cu4.4O10.7348,35.4
La1.7Pr0.3Ca0.6Ba2Cu4.6O10.8862,47.6
La1.6Pr0.4Ca0.8Ba2Cu4.8O11.1064,54
La1.5Pr0.5Ca1Ba2Cu5O11.782,57.7
Sr1Ti1O3,0.58
Sr1Ti1O3,0.133
Sr1Ti1O3,0.214
Sr2Ru1O4,1.42
Sr2Ru0.9995Ti0.0005O4,1.13
Sr2Ru0.999Ti0.001O4,0.6
Sr2Ru0.99875Ti0.00125O4,0.46
Ba1Sr1Y1Cu3O7,82.7
Fe0.1Ba1Sr1Y1Cu2.9O7,46.6
Fe0.2Ba1Sr1Y1Cu2.8O7,36.1
Fe0.3Ba1Sr1Y1Cu2.7O7,7.8
Fe0.5Ba2Y1Cu2.5O7,73
Fe0.5Sr2Y1Cu2.5O7,77
Fe0.5Ba1Sr1Y1Cu2.5O7.35,60
Mo1Sr2Y1Cu2O7,18
Mo1Sr2Y1Cu2O7,32
Eu1.4Ce0.6Ru1Sr2Cu2O10,40
Sr0.9Pr0.1Cu1O2,41.5
Sr0.9La0.1Cu1O2,41.9
Na0.3Co1H2.6O3.3,4.2
Na0.45Co1H2.6O3.3,2
Na0.4Co1H2.6O3.3,2
Na0.32Co1H2.6O3.3,2.1
Na0.33Co1H2.6O3.3,2.2
Na0.32Co1H2.6O3.3,3
Na0.3Co1H2.6O3.3,4.3
Na0.29Co1H2.6O3.3,4
Na0.26Co1H2.6O3.3,2.4
Hg2Ba1Sr1Y1Cu2O8,32
Hg2Sr2Y1Cu2O8,42
Hg2Ba2Y0.8Ca0.2Cu2O8,21
Hg2Ba1.9Sr0.1Y0.8Ca0.2Cu2O8,27
Hg2Ba1.8Sr0.2Y0.8Ca0.2Cu2O8,32.5
Hg2Ba1.7Sr0.3Y0.8Ca0.2Cu2O8,39.5
Hg2Ba1.6Sr0.4Y0.8Ca0.2Cu2O8,38.5
Hg2Ba1.5Sr0.5Y0.8Ca0.2Cu2O8,41
Hg2Ba1.2Sr0.8Y0.8Ca0.2Cu2O8,51
Hg2Ba0.6Sr1.4Y0.8Ca0.2Cu2O8,60
Hg2Sr2Y0.8Ca0.2Cu2O8,58
Sm1.85Ce0.15Cu1O4,18.6
Sm1.85Ce0.15Cu1O4,15.7
Bi0.8Nd0.1Tb0.1Pb1Sr2Ca2Cu3O10,115
Ru0.99Co0.01Sr2Gd1Cu2O8,25.5
Ru0.97Co0.03Sr2Gd1CuO8,13
Ru0.95Co0.05Sr2Gd1CuO8,5.5
Ba0.63K0.37Bi1O3,31
Y1Ba2Cu2.96Co0.04O7,91.5
Y1Ba2Cu2.94Co0.06O7,78.3
Y1Ba2Cu2.88Co0.12O7,71
Y1Ba2Cu2.76Co0.24O6.999,50.7
Y1Ba2Cu2.64Co0.36O7.03,22
Pr1.885Ce0.115Cu1O4,13
Pr1.876Ce0.124Cu1O4,21.3
Pr1.873Ce0.127Cu1O4,23.1
Pr1.869Ce0.131Cu1O4,23.6
Pr1.867Ce0.133Cu1O4,23.3
Pr1.863Ce0.137Cu1O4,23.2
Pr1.856Ce0.144Cu1O4,21.2
Pr1.848Ce0.152Cu1O4,19.8
Pr1.85Ce0.15Cu1O4,15.9
La1.913Ce0.087Cu1O4,28.7
La1.888Ce0.112Cu1O4,29.3
La1.865Ce0.135Cu1O4,21.7
La1.875Ce0.125Cu1O4,22.5
La1.855Ce0.145Cu1O4,24.2
La1.844Ce0.156Cu1O4,21.5
Pr1.85Ce0.15Cu1O4,24
Nd1.85Ce0.15Cu1O4,19
Pr1.85Ce0.15Cu1O4,24.2
Pr1.85Ce0.15Cu1O4,23.9
Pr1.85Ce0.15Cu1O4,23.6
La1.87Ce0.13Cu1O4,23.5
La1.909Ce0.091Cu1O4,30.3
La1.89Ce0.11Cu1O4,29.75
La1.92Ce0.08Cu1O4,15
La1.91Ce0.09Cu1O4,18.2
La1.89Ce0.11Cu1O4,25
La1.87Ce0.13Cu1O4,20
La1.85Ce0.15Cu1O4,8.5
La1.84Ce0.16Cu1O4,3
Gd1Sr0.8Ba1.2Cu3O,84
Gd0.8Pr0.1Ca0.1Sr0.8Ba1.2Cu3O,69.8
Gd0.6Pr0.2Ca0.2Sr0.8Ba1.2Cu3O,44.9
Er1Sr0.8Ba1.2Cu3O,83.9
Er0.8Pr0.1Ca0.1Sr0.8Ba1.2Cu3O,78
Er0.6Pr0.2Ca0.2Sr0.8Ba1.2Cu3O,72.5
Sm1Ba2Cu3O,88
La2Cu1O4.086,45.2
La2Cu0.99Zn0.01O4.099,29.3
La2Cu0.98Zn0.02O4.099,19.2
La2Cu0.97Zn0.03O4.1,7.3
K1Os2O6,9.5
Nd1Sr1.5Ba0.5Cu2.85Mo0.15O,34.25
Nd1Sr1.5Ba0.5Cu2.7Mo0.3O,22.5
Nd1Sr1.65Ba0.35Cu2.8Mo0.2O,26
Nd1Sr1.5Ba0.5Cu2.8Mo0.2O,31
Ru1Sr2Eu1.5Ce0.5Cu2O,36
Ru0.75Nb0.25Sr2Eu1.5Ce0.5Cu2O,33.5
Ru0.5Nb0.5Sr2Eu1.5Ce0.5Cu2O,32
La1.64Eu0.2Sr0.16Cu1O4,10
Na0.35Co1H2.6O3.3,4.2
Na0.75Co1H2.6O3.3,4.61
Na0.75Co0.9995Ir0.0005H2.6O3.3,4.59
Na0.75Co0.995Ir0.005H2.6O3.3,3.94
Na0.75Co0.99Ir0.01H2.6O3.3,3.54
Na0.75Co1H2.6O3.3,4.49
Na0.75Co0.9995Ga0.0005H2.6O3.3,4.38
Na0.75Co0.999Ga0.001H2.6O3.3,4.19
Na0.75Co0.9975Ga0.0025H2.6O3.3,3.98
Na0.75Co0.995Ga0.005H2.6O3.3,2.99
Bi2Sr2.1Y0.1Ca0.8Cu2O8.26,96
Bi2Sr1.9Y0.1Ca1Cu2O8.24,94
Bi2Sr1.8Y0.1Ca1.1Cu2O8.23,93
Bi2Sr1.6Y0.1Ca1.3Cu2O8.23,89
K1Os2O6,9.8
Cs1Os2O6,3.3
Na0.22Co1H1.8O2.85,4.5
Na0.22Co1H1.8O2.85,4.4
Tb1Sr2Cu2.7Mo0.3O7.15,37
Tb1Sr2Cu2.7Mo0.3O7,80
La1.9Sr0.1Cu1O4,29.3
La1.9Sr0.1Cu0.9975Zn0.0025O4,23.71
La1.9Sr0.1Cu0.995Zn0.005O4,20.19
La1.9Sr0.1Cu0.9925Zn0.0075O4,15.23
La1.9Sr0.1Cu0.99Zn0.01O4,11.97
La1.885Sr0.115Cu1O4,27.57
La1.885Sr0.115Cu0.9975Zn0.0025O4,22.46
La1.885Sr0.115Cu0.995Zn0.005O4,17.64
La1.885Sr0.115Cu0.9925Zn0.0075O4,12.45
La1.885Sr0.115Cu0.99Zn0.01O4,8.56
La1.87Sr0.13Cu1O4,33.54
La1.87Sr0.13Cu0.9975Zn0.0025O4,28.92
La1.87Sr0.13Cu0.995Zn0.005O4,26.44
La1.87Sr0.13Cu0.9925Zn0.0075O4,21.02
La1.87Sr0.13Cu0.99Zn0.01O4,18.83
Rb1Os2O6,6.4
Na0.23W1O3,2.16
Rb0.27W1O3,1.9
Rb0.33W1O3,1.76
Rb0.33W1O3,2.89
Rb0.33W1O3,2.45
Na0.2W1O3,3.05
Ba1Pb0.9Bi0.1O3,2.91
Ba1Pb0.85Bi0.15O3,8.7
Ba1Pb0.8Bi0.2O3,10.25
Ba1Pb0.75Bi0.25O3,11.7
Ba1Pb0.7Bi0.3O3,11.23
Ba1Pb0.65Bi0.35O3,3.93
Li1Ti2O4,11.4
Na0.28Co1H2.6O3.3,4.21
Na0.29Co1H2.6O3.3,3.91
Na0.31Co1H2.6O3.3,4.81
Na0.24Co1H2.6O3.3,3.51
Na0.26Co1H2.6O3.3,2.71
Li1Ti2O4,11.7
Li1.05Ti1.95O4,12
Li1.1Ti1.9O4,9.6
Ca1La1Ba1Cu2.8P0.2O7,90
Y0.8Ca0.2Sr1Ba1Cu2.8B0.2O7,45
Ru1Sr2Y1Cu2O8,45
Gd1.05Ba1.95Cu3O6.94,85
Gd1.15Ba1.85Cu3O6.99,48
Gd1.2Ba1.8Cu3O7.03,42
Gd1.25Ba1.75Cu3O6.98,28
Li1Ti2O4,12.9
Li1Ti2O4,12.4
Li1.04Ti1.96O4,12.1
Li1.08Ti1.92O4,11.8
Li1.12Ti1.88O4,10.4
Li1.16Ti1.84O4,8.3
Li0.98Mg0.02Ti2O4,11.9
La2Cu0.985V0.015O4.021,40
La2Cu0.975V0.025O4.032,40
La2Cu0.965V0.035O4.045,40
La2Cu0.955V0.045O4.056,40
Ba2Ca2Cu3F2O6,90
Ba2Ca3Cu4F2O8,70
Bi1Pb1Sr2Ca2Cu3O10,103.5
Bi0.9Nd0.05Tb0.05Pb1Sr2Ca2Cu3O10,111
Bi0.8Nd0.1Tb0.1Pb1Sr2Ca2Cu3O10,115.5
Bi0.6Nd0.2Tb0.2Pb1Sr2Ca2Cu3O10,107.5
Y1Ba2Cu2.9925Zn0.0075O6.92,88
Y1Ba2Cu2.985Zn0.015O6.95,86
Y1Ba2Cu2.9775Zn0.0225O6.93,83
Y1Ba2Cu2.97Zn0.03O6.98,80
Y1Ba2Cu2.94Zn0.06O6.96,71
Y1Ba2Cu2.88Zn0.12O6.95,64
Tl1Ba2Ca3Cu4O,128
Ti1Sr2Sm1.6Ce0.4Cu2O10,25
Ti1Sr2Eu1.6Ce0.4Cu2O10,20
Ca2Cu1Cl2.25O2,31
Ca2Cu1Cl2.3O2,36
Ca2Cu1Cl2.4O2,38
Ca2Cu1Cl2.5O2,38
Ca2Cu1Cl2.18O2,24
Ca2Cu1Cl2.2O2,30
Fe0.5Ba2Y1Cu2.5O7.41,80
Fe0.5Ba2Sm1Cu2.5O7.54,8
Fe0.5Ba2Eu1Cu2.5O7.51,60
Fe0.5Ba2Gd1Cu2.5O7.45,72
Fe0.5Ba2Dy1Cu2.5O7.52,75
Fe0.5Ba2Ho1Cu2.5O7.49,76
Fe0.5Ba2Er1Cu2.5O7.46,72
Fe0.5Ba2Tm1Cu2.5O7.43,60
Fe0.5Ba2Yb1Cu2.5O7.45,72
Ga0.65Cd0.4Sr2Y1Cu2O7,38
Ga0.65Cd0.5Sr2Y1Cu2O7,44
Ga0.65Cd0.6Sr2Y1Cu2O7,50
Ga0.65Sr2Y0.7Ca0.3Cu2O7,23.5
Ga0.95Cd0.05Sr2Y0.7Ca0.3Cu2O7,27.5
Ga0.9Cd0.1Sr2Y0.7Ca0.3Cu2O7,32.5
Ga0.85Cd0.15Sr2Y0.7Ca0.3Cu2O7,37
Ga0.8Cd0.2Sr2Y0.7Ca0.3Cu2O7,41.5
Ga0.75Cd0.25Sr2Y0.7Ca0.3Cu2O7,45
Ga0.7Cd0.3Sr2Y0.7Ca0.3Cu2O7,47.5
Ga0.65Cd0.35Sr2Y0.7Ca0.3Cu2O7,51
Ga0.6Cd0.4Sr2Y0.7Ca0.3Cu2O7,52.5
Ga0.5Cd0.5Sr2Y0.7Ca0.3Cu2O7,58.5
Ga0.4Cd0.6Sr2Y0.7Ca0.3Cu2O7,61.5
Ru1Sr2Gd1.4Ce0.6Cu2O9.54,34
Ru0.875Nb0.125Sr2Gd1.4Ce0.6Cu2O,34
Ru0.75Nb0.25Sr2Gd1.4Ce0.6Cu2O,29.5
Ru0.625Nb0.375Sr2Gd1.4Ce0.6Cu2O,29.5
Ru0.5Nb0.5Sr2Gd1.4Ce0.6Cu2O9.64,30
Ga1Sr2Tm0.75Ca0.25Cu2O7,28
Ga1Sr2Tm0.7Ca0.3Cu2O7,40
Ga1Sr2Tm0.65Ca0.35Cu2O7,47
Ga1Sr2Tm0.6Ca0.4Cu2O7,51
Ga1Sr2Y0.8Ca0.2Cu2O7,35
Ga1Sr2Y0.7Ca0.3Cu2O7,35
Ga1Sr2Y0.7Ca0.3Cu2O7,25
Ga1Sr2Y0.6Ca0.4Cu2O7,38
Ga1Sr2Y0.5Ca0.5Cu2O7,35
Ga0.9Sr2Y0.6Ca0.4Cu2.1O7,41
Ga0.8Sr2Y0.6Ca0.4Cu2.2O7,42
Fe1Sr2Y1Cu2O6,42
Fe1Sr2Y1Cu2O6,48
Fe1Sr2Y1Cu2O7.68,56
Y0.4Pr0.6Ba1.2Sr0.8Cu3O7,15.5
Y0.4Pr0.6Ba1Sr1Cu3O7,23
Y1Ba2Cu3O7,44.7
Y1Ba2Cu2.99Gd0.01O7,44.4
Y1Ba2Cu2.98Gd0.02O7,42.5
Y1Ba2Cu2.97Gd0.03O7,40.4
Y1Ba2Cu2.95Gd0.05O7,44.8
Y1Ba2Cu2.9Gd0.1O7,33.7
Y1Ba2Cu2.85Gd0.15O7,44.1
Hg0.75Ti0.25Sr2Gd1.5Ce0.5Cu2O,38
Hg0.75V0.25Sr2Gd1.5Ce0.5Cu2O,47
Hg0.75Mo0.25Sr2Gd1.5Ce0.5Cu2O,70
Hg0.75W0.25Sr2Gd1.5Ce0.5Cu2O,75
Hg0.75Re0.25Sr2Gd1.5Ce0.5Cu2O,50
Hg0.75W0.25Sr2Sm1.5Ce0.5Cu2O,56
Hg0.75W0.25Sr2Eu1.5Ce0.5Cu2O,65
Hg0.75W0.25Sr2Dy1.5Ce0.5Cu2O,71
Hg0.75W0.25Sr2Ho1.5Ce0.5Cu2O,64
Hg0.75W0.25Sr2Er1.5Ce0.5Cu2O,60
Hg0.7W0.3Sr2Ce2.01Eu0.99Cu2O11,26
Hg0.7W0.3Sr2Ce1.74Eu1.26Cu2O11,33
Hg0.7W0.3Sr2Ce1.5Eu1.5Cu2O11,45
Mo0.25Sr2Ce2.01Y0.99Cu2.75O11,12.1
Mo0.25Sr2Ce2.01Y0.99Cu2.75O11,33.4
Mo0.25Sr2Ce2.01Y0.99Cu2.75O11,50.9
Mo0.25Sr2Ce2.01Y0.99Cu2.75O11,51.7
Mo0.25Sr2Ce2.01Y0.99Cu2.75O11,52.9
Mo0.25Sr2Y1Cu2.75O7,87.6
Mo0.25Sr2Y1.5Ce0.5Cu2.75O9,35.2
Ag5Pb2O6,0.048
Bi1.6Pb0.6Sr2Ca1Cu2O8,91
Bi1.2Pb0.8Sr2Ca1Cu2O8,93
K1Os2O6,9.62
Rb1Os2O6,6.29
Cs1Os2O6,3.26
Bi2Sr2Ca1Cu2O8,48
La1.78Sr0.22Cu1O4,27.4
La1.85Sr0.15Cu1O4,36.1
La1.89Sr0.11Cu1O4,29.3
La1.91Sr0.09Cu1O4,24.4
La1.925Sr0.075Cu1O4,15.6
La1.931Sr0.069Cu1O4,12
Gd1.1Ba1.9Cu3O7,93
Y0.8Ca0.2Ba2Cu3O6.84,82
Y0.8Ca0.2Ba2Cu3O6.78,84.2
Y0.8Ca0.2Ba2Cu3O6.59,67.3
Y0.8Ca0.2Ba2Cu3O6.51,62.6
Y0.8Ca0.2Ba2Cu3O6.49,61
Y0.8Ca0.2Ba2Cu3O6.41,32.4
Y0.8Ca0.2Ba2Cu3O6.32,25.8
Ca1.85Na0.15Cu1Br2O2,10
Ca1.825Na0.175Cu1Br2O2,10.5
Ca1.8Na0.2Cu1Br2O2,11
Ca1.75Na0.25Cu1Br2O2,18
Ca1.7Na0.3Cu1Br2O2,16.5
Ca1.65Na0.35Cu1Br2O2,18
Ca1.875Na0.125Cu1Br1Cl1O2,15
Ca1.85Na0.15Cu1Br1Cl1O2,19
Ca1.825Na0.175Cu1Br1Cl1O2,23
Ca1.8Na0.2Cu1Br1Cl1O2,19
Ca1.75Na0.25Cu1Br1Cl1O2,19
Ca1.7Na0.3Cu1Br1Cl1O2,23.5
Ca1.65Na0.35Cu1Br1Cl1O2,24
Ca1.9Na0.1Cu1Cl2O2,13
Ca1.875Na0.125Cu1Cl2O2,25
Ca1.85Na0.15Cu1Cl2O2,25
Ca1.825Na0.175Cu1Cl2O2,26
Ca1.8Na0.2Cu1Cl2O2,27.5
Ca1.75Na0.25Cu1Cl2O2,26.5
Ca1.7Na0.3Cu1Cl2O2,27.7
Ca1.65Na0.35Cu1Cl2O2,28
Cd2Re2O7,0.97
Bi1.4Pb0.6Sr2Ca1Cu2O8,91
Sn1,3.809
Sn1,3.7452
Sn1,3.6657
Tl1,2.3917
Tl1,2.3861
Tl1,2.3956
In1,3.4178
Hg1,4.1596
Pb1,7.22
Sn1,3.8082
Sn1,3.7419
Sn1,3.7444
Hg1,4.173
Be22Mo1,2.51
Be22W1,4.12
Be22Tc1,5.21
Be22Re1,9.65
Mo1,0.902
Tc1,7.79
Tc1,8.035
Tc1,7.77
Tc1,7.71
Ga1,6.07
H0.965Pd1,6.45
Cd1,0.5173
Cd1,0.5218
Cd1,0.5148
Cd1,0.5115
C3La2,13.5
C3Y2,17.3
Y2C2.9B0.1,16.4
C3La2,11.1
La1.8Sr0.2Cu1O4,29
La1.76Sr0.24Cu1O4,14.2
La1.74Sr0.26Cu1O4,9.95
La1.72Sr0.28Cu1O4,4.98
La1.8Sr0.2Cu0.995Zn0.005O4,26.1
La1.8Sr0.2Cu0.99Zn0.01O4,11
La1.78Sr0.22Cu0.9975Zn0.0025O4,18.5
La1.78Sr0.22Cu0.995Zn0.005O4,9.88
Bi2Sr2Ca1Cu2O8,72
Bi2Sr2Ca0.9Y0.1Cu2O8,84
Bi2Sr2Ca0.8Y0.2Cu2O8,91.7
Bi2Sr2Ca0.75Y0.25Cu2O8,92.8
Bi2Sr2Ca0.7Y0.3Cu2O8,89
Bi2Sr2Ca0.6Y0.4Cu2O8,67.8
B2Mg1,38
Mg1B0.96C0.04,35.5
Mg1B0.9C0.1,30
Mg1B0.85C0.15,24
B2Mg1,38.73
Rb1Os2O6,6.32
Li2Pd3B1,7.5
Li2Pt3B1,2.17
Ba24Si100,1.4
Y1Ba2Cu4O8,80.05
B2Mg1,39
C2Na1,5
C3Na1,2.3
Ru1Sr2Gd1Cu2O8,47.5
Ag5Pb2O6,0.0524
Ag7N1O11,1.04
Ag7F1O8,0.3
Ag7B4F4O8,0.15
Sb2Yb1,1.3
C8.1K1,0.152
Si2Ta1,0.345
Pr1Ru4Sb12,0.97
Nb1Se2,7.1
K1Os2O6,9.6
Ce1Rh1Si3,0.9
Ce1Co1In5,2.27
Ce1Pt3Si1,0.8
Ba24Si100,1.55
Ce1Rh1In5,2.2
Ce2Ni3Ge5,0.22
C2Y1,3.838
La0.6Rh4P12,17
Te3Zr1,2.95
Ce1Cu2Si2,0.73
Ce1Cu2Si2,0.61
Y1Ru4P12,8.5
Hg0.4Pr0.8Sr2.4Ca0.4Cu2O6,74
Hg0.4Pr1.1Sr2Ca0.5Cu2O7.9,76
Hg0.4Pr1.1Sr2Ca0.5Cu2O6.9,60
Hg0.5Bi0.5Sr2Ca0.65Nd0.35Cu2O,94
Hg0.5Bi0.5Sr2Ca0.65Y0.35Cu2O,93
Hg0.5Bi0.5Sr2Ca0.65Pr0.35Cu2O,95
Hg0.75Ti0.25Sr2Ca0.65Y0.35Cu2O,75
Hg0.4Pr0.6Sr2.7Pr0.3Cu2O6,85
Hg0.4Pr0.6Sr2.5Pr0.5Cu2O6,74
Ba6Ge25,0.24
La3Pd4Ge4,2.75
Zn2Zr1,0.6
B2Mg1,38.7
B12Zr1,6
Ca1.82Na0.18Cu1Cl2O2,27
Ce1Ni1Ge3,0.48
Cu0.5Tl0.5Ba2Ca2Cu3O10,108
Cu0.5Tl0.5Ba2Ca1.6Mg0.4Cu3O10,115
Cu0.5Tl0.5Ba2Ca1.2Mg0.8Cu3O10,117
Cu0.5Tl0.5Ba2Ca0.8Mg1.2Cu3O10,130
Cu0.5Tl0.5Ba2Ca1.9Pr0.1Cu3O10,110.5
Cu0.5Tl0.5Ba2Ca1.8Pr0.2Cu3O10,100
Cu0.5Tl0.5Ba2Ca1.6Pr0.4Cu3O10,80
Mg1.9Cu0.1B12,37.3
Mg1.8Cu0.2B12,36.5
Ca1.9Cu1Cl2O2,15
Ca1.85Cu1Cl2O2,30
Ca1.8Cu1Cl2O2,39
Ca1.8Cu1Cl2O2,43
Li1Ti2O4,12.1
C1,0.38
C1,2.5
C1,2.62
Mg1B1.95C0.05,34
Mg1B1.9C0.1,27.5
Mg1B1.9C0.1,34.2
Mg1B1.9C0.1,35.4
Ga0.5Co0.5Sr2Tm0.6Ca0.4Cu2O,35
Ga0.5Co0.5Sr2Tm0.5Ca0.5Cu2O,34
Ga0.4Co0.6Sr2Tm0.6Ca0.4Cu2O,30
Lu1Ni1B1C1,2.5
Lu1Ni1B0.9C1,2.6
Lu1Ni1B0.8C1,2.6
Lu1Ni1B0.9C1.1,2.9
Lu1Ni1B0.8C1.2,3.2
Lu1Ni1B1.1C0.9,2.4
Lu1Ni1B1C0.85,2.4
Lu1Ni1B0.95C0.95,2.5
Li2Pd3B1,8.2
Li2Pd2.94Ni0.06B1,7.7
Li2Pd2.85Ni0.15B1,7.5
Li2Pd2.7Ni0.3B1,7.3
Li2Pd2.4Ni0.6B1,7.69
Li1Ti2O4,11
Li1.05Ti1.95O4,10.5
Li1.07Ti1.93O4,10.4
Li1.1Ti1.9O4,10.3
Li1.12Ti1.88O4,9.4
Na0.34Co1H2.6O3.3,2.65
Na0.32Co1H2.6O3.3,3.6
Na0.31Co1H2.6O3.3,3.7
Na0.28Co1H2.6O3.3,4.75
Na0.25Co1H2.6O3.3,4.7
Na0.26Co1H2.6O3.3,4.6
Zr1,0.49
Re1,1.703
Zn1,0.855
Ru1,0.509
Os1,0.671
Pb1,7.172
Pb1,7.175
Hg0.75W0.25Sr2Sm1.5Ce0.5Cu2O,45.5
Hg0.75W0.25Sr2Eu1.5Ce0.5Cu2O,52
Hg0.75W0.25Sr2Gd1.5Ce0.5Cu2O,61.5
Hg0.75W0.25Sr2Dy1.5Ce0.5Cu2O,60
Hg0.75W0.25Sr2Ho1.5Ce0.5Cu2O,53
Hg0.75W0.25Sr2Er1.5Ce0.5Cu2O,48
Hg0.75Re0.25Sr2Gd1.5Ce0.5Cu2O,39
Hg0.75Re0.25Sr2Gd1.5Ce0.5Cu2O,70
Y2C2I2,10
Y2C2Br2,5.03
Y2C2Br1I1,5.08
Y2C2Br0.5I1.5,11.6
Y2C2I2,9.97
La2C2Br2,7.03
Ba1.34Eu2Ce0.66Cu3O8.96,15
Ba1.34Eu2Ce0.66Cu3O9.02,25
Ba1.34Eu2Ce0.66Cu3O9,62
V0.5Sr2.25Ca1.75Cu3.5O9.7,98
V0.5Sr2.7Ca2.3Cu4.5O11.6,107
V0.5Sr2.4Ca3.6Cu5.5O13.55,75
V0.5Sr2.3Ca4.7Cu6.5O15.5,75
V0.5Sr2.6Ca5.4Cu7.5O17.3,73
Mo0.25Sr2Y1Cu2.75O7,88
Mo0.25Sr2Ce0.9Y1.1Cu2.75O9,61
La1.875Sr0.125Cu1O4,27.84
La1.85Sr0.15Cu1O4,37.94
Y1Ba2Cu4O8,81.6
Y1Ba2Cu3O6.85,89.3
Y0.8Pr0.2Ba2Cu3O7,73.2
Y0.7Pr0.3Ba2Cu3O7,59.7
Y0.6Pr0.4Ba2Cu3O7,45.3
Y0.8Pr0.2Ba2Cu4O8,70.2
Y0.7Pr0.3Ba2Cu4O8,63.5
Y1La0.3Ba1.7Cu3O7,57.45
Y1La0.3Ba1.7Cu4O8,52.6
Y0.6Pr0.4Ba2Cu3O7,44.62
Hg0.82Re0.18Ba2Ca2Cu3O8,132.6
Hg0.82Re0.18Ba2Ca2Cu3O8,133.2
Hg0.82Re0.18Ba2Ca2Cu3O8,132.7
Ca1Cu0.25Si1.7,3.2
Ca1Cu0.25Si1.75,3.1
Ca1Cu0.33Si1.67,2.3
Ca1Cu0.25Si1.55,2.9
Ca1Cu0.25Si1.6,3
Pr1Os4Sb12,1.81
Pr0.98La0.02Os4Sb12,1.8
Pr0.95La0.05Os4Sb12,1.79
Pr0.9La0.1Os4Sb12,1.7
Pr0.8La0.2Os4Sb12,1.645
Pr0.7La0.3Os4Sb12,1.528
Pr0.6La0.4Os4Sb12,1.414
Pr0.4La0.6Os4Sb12,1.172
Pr0.2La0.8Os4Sb12,0.903
La1Os4Sb12,0.741
Ru1Sr2Eu1.5Ce0.5Cu2O10,33
Ru0.8Mo0.2Sr2Eu1.5Ce0.5Cu2O10,37.5
Ru0.8Mo0.4Sr2Eu1.5Ce0.5Cu2O10,40
Ru0.8Mo0.6Sr2Eu1.5Ce0.5Cu2O10,23
B6Y1,7.15
Ce1Cu2Si2,0.63
Sc5Ir4Si10,8.5
Sc4.5Dy0.5Ir4Si10,6.95
Sc4Dy1Ir4Si10,5.95
Sc3.5Dy1.5Ir4Si10,3.93
Y2Dy3Os4Ge10,2.86
Y2.5Dy2.5Os4Ge10,3.8
Y3Dy2Os4Ge10,4.8
Y3.25Dy1.75Os4Ge10,5.2
Y4Dy1Os4Ge10,6.9
Y5Os4Ge10,9.1
Bi1K1,3.6
Bi3Ca1,1.7
Ba1Bi3,5.69
Bi2Rh1,2.2
Bi4Rh1,2.75
Bi3Ni1,3.6
N1Zr1,9.05
N1V1,7.5
C1Mo2,2.78
C1W2,2.74
B1Mo2,4.74
Mo2N1,5
Mo1N1,12
Mo2N1,5.2
Mo1N1,4.2
Sr0.2Ta1S2,2.8
Sr0.2Mo1S2,5.1
Sr0.2W1S2,3.5
Ca0.2Mo1S2,3.6
Ba0.2Mo1S2,5.7
Yb0.2Mo1S2,2.4
Sr0.2Mo1Se2,5
Sr0.2W1Se2,1.4
Pb1.14Ta2S5.14,3.3
Sb1.16Ta2S5.16,3
Bi1.08Ta2S5.08,2.7
Na0.6Sn1Ta2S5,4
Na0.3Pb1Ta2S5,3.7
Na0.3Sb1Ta2S5,3.5
Ge1,5.35
Si1,6.7
Ce1Cu2Ge2,2
Ce1Cu2Si2,0.7
C1,12
Ca1.9Na0.1Cu1Cl2O2,8
Ca1.88Na0.12Cu1Cl2O2,16.8
Ca1.8Na0.2Cu1Cl2O2,26.4
Zr1N1Cl0.7,14
Pr0.89La1Ce0.11Cu1O3.98,26
Pr0.85La1Ce0.15Cu1O3.95,19
La1Fe4P12,4.1
Mg1C1Ni3,7.1
Mg1C1Ni2.995Ru0.005,6.93
Mg1C1Ni2.99Ru0.01,6.71
Mg1C1Ni2.98Ru0.02,6.52
Mg1C1Ni2.967Ru0.033,6.1
